name,Farmers Fridge,University of Illinois at Chicago - Student Center West,600 W Chicago,Chase Tower,7-Eleven @ Kingsbury and Ontario ,Feinberg Pavilion - Northwestern Medicine,Chicago Midway Airport - Ticketing Employee Lounge,DeVry Chicago Campus (Students/Staff Only),525 W Monroe,200 W Jackson (Tenants Only),Allstate HQ (Tenants Only),CVS @ 137 State,West Suburban Medical Center,Merchandise Mart,American Airlines Lounge (Employees Only),Medical College of Wisconsin,100 E Wisconsin,O'Hare 3H Left,CME Center,Illinois Center,Schlitz Park Rivercenter,US Foods (Employees Only),North Park University,Epic Burger West Loop,University of Wisconsin-Milwaukee EMS Building,311 S Wacker (Tenants Only),MacNeal Hospital,General Growth Properties HQ (Employees Only),University of Illinois at Chicago - College of Medicine ,Prentice Women`s Hospital - Northwestern Medicine,DePaul University - Schmitt Academic Center,University of Illinois at Chicago - Behavioral Sciences,CNA Center (Employees Only),University of Illinois at Chicago - Richard J Daley Library (Students/Staff Only),Chicago Midway Airport - Southwest Employee Lounge,Schaumburg Towers,Loyola Medical Center,7-Eleven @ Jackson and Desplaines,Walgreens Corporate Office (Employees Only),Skokie Hospital / Northshore ,DeVry Addison (Students/Staff Only),CVS @ 344 Hubbard,REI Building ,Peggy Notebaert Nature Museum,MillerCoors HQ,Good Samaritan Hospital,Moraine Valley Community College: Police Academy- Building B,O'Hare Terminal 2 - Gate F6,Good Shepherd Hospital
Allstate HQ (Tenants Only),29.152471544357443,29.847182819934865,28.92256138358211,104.70415024386794,29.48584544692269,30.46839553481488,35.8945692821599,22.65639539035522,30.67683196815408,31.124089477512534,0.0,31.388886938362777,24.12055453236804,30.228250015136826,13.511799367154312,29.0549021528452,104.81758647672805,13.978118917266107,30.708853497176744,30.909388835405295,106.14746964677288,12.057800739658335,29.0549021528452,30.65399586570585,108.87746081302122,31.128747448634407,28.893836326264115,30.50205108850987,29.94227750346041,30.339669674126217,26.160331958429026,30.620574082964428,31.676293535601904,30.898148597559853,35.8945692821599,15.425933067347374,26.42665207023179,30.700795888034246,6.093545998734335,11.410090433141132,21.463717676469823,29.96425794554417,27.856715632042537,26.959337579589214,30.97871312820381,29.0549021528452,29.0549021528452,13.94415430987921,27.329741550003053
CVS @ 137 State,2.9284067345864693,4.024228550717319,2.4701811754830363,130.85243912569578,1.9054429096772907,1.739480096584043,13.900367972914376,8.742037249689755,1.0641872026385832,0.5935257683960725,31.388886938362777,0.0,12.388988874283038,1.164056993323582,25.709499454827043,2.3420550470335075,130.96667862651444,25.61458729599713,0.8703350322603537,0.939164649207149,132.28317511151084,22.595568619603746,2.3420550470335075,1.1962146791882524,134.6839838987613,0.7600266867974786,14.319008531973582,0.9570164109473825,3.9505576130981384,1.9240986683668109,5.440282570462018,2.2340897941634625,0.2923797171123847,2.1083310195808944,13.900367972914376,39.0485739727305,17.340406773249903,1.3712445426386393,36.009342651475116,21.853628791737258,34.909290562973275,1.4292687453849495,3.5975903321577696,5.30408813562533,0.8417464703069911,2.3420550470335075,2.3420550470335075,25.342223068302722,57.19270642744499
West Suburban Medical Center,9.480298442131245,8.708976596103856,10.86796593868322,127.95825649805813,11.17817900121727,12.833826288847373,11.80206061969996,8.995522536211634,11.326406761533505,11.828503368240154,24.12055453236804,12.388988874283038,0.0,11.651586159997684,14.60799841443513,10.990041715102635,128.07228589137273,14.390834005154892,11.524038653258948,12.630711876496552,129.400558686374,12.75767414573708,10.990041715102635,11.202533101357538,132.01234799893965,11.704961959292769,5.531192031189308,11.510776285534336,8.81028329849153,12.855039759123123,10.648693410582307,10.382065021019603,12.559393901732154,10.624108913679727,11.80206061969996,27.974423758855597,5.969910090300931,11.066919860854947,29.81867137354827,18.552359526872543,22.66151694463041,11.497509673414724,10.712209102900998,12.13772729990437,11.581732337988946,10.990041715102635,10.990041715102635,14.153566348575222,47.15494943243209
Merchandise Mart,2.219282834574124,3.7540036638403134,1.3066378055664933,129.80063857689626,0.7424417247937003,1.3816298295420075,14.179353185418293,7.578828190938231,0.9737317859449229,1.0838339127504384,30.228250015136826,1.164056993323582,11.651586159997684,0.0,24.700258775946264,1.1780230149072541,129.91488895222642,24.61606635905375,0.7854323549584007,0.9795659828434573,131.2320936264761,21.521755100400394,1.1780230149072541,1.1000725271305385,133.64216499813094,1.1976380446611514,13.98379280786544,0.519005884464142,3.7055435431294916,1.4992659586976307,4.299988296439151,2.182242677653433,1.4550155532686584,2.2048079163545045,14.179353185418293,38.00906974495374,16.818754653203808,1.338335332594645,34.84639733925059,20.706183152729945,34.04778083427095,0.26525022969684875,2.442911916641563,4.291581247603228,1.1041469415816323,1.1780230149072541,1.1780230149072541,24.3416341534068,56.07762137056385
American Airlines Lounge (Employees Only),22.872588976886362,22.729280072541076,23.556958372688197,117.79495015993996,24.03895751444783,25.514002425430935,25.239942242519678,18.373843197553082,24.72858101703278,25.245048647503314,13.511799367154312,25.709499454827043,14.60799841443513,24.700258775946264,0.0,23.699180078467702,117.90791720653351,0.4663355604118387,24.8629306647001,25.61990551250767,119.23698548671334,4.314095661284349,23.699180078467702,24.642857231046985,122.0238949898144,25.17216711190159,17.8047006537663,24.754009545204784,22.834854300579636,25.45919953368355,21.79012610439293,24.124724727862862,25.947922523710496,24.39999570011723,25.239942242519678,13.433451883028862,14.453830635912842,24.582806136255932,19.552257740721778,16.160900491949615,11.241438216297508,24.47481901576072,22.86501461377629,23.124765603392664,25.026726134540407,23.699180078467702,23.699180078467702,0.5172026945205584,32.61007339861554
Medical College of Wisconsin,2.008344801519196,3.8478409861478666,0.14283547548409162,128.73351330646108,0.4415654144844371,1.872872010155923,14.561482685737769,6.402564262795383,1.8811473043142308,2.1858250160940664,29.0549021528452,2.3420550470335075,10.990041715102635,1.1780230149072541,23.699180078467702,0.0,128.84777295671321,23.626986532511527,1.8017725735570447,1.944319865793824,130.16567254463644,20.449694254567248,0.0,1.9409207194792828,132.58505206679882,2.253021426074008,13.747691966665869,1.543773605182031,3.83043189655914,1.8714745494671512,3.1604061803050145,2.708455569903544,2.6329844846945765,2.8436343761995992,14.561482685737769,36.96980127544859,16.368543806522403,2.1181302031133153,33.66912945556417,19.545030364238166,33.202369238584765,0.9127886925977974,1.2885642111556475,3.360608359683699,2.1239911947766763,0.0,0.0,23.350434646589207,54.95449201413223
100 E Wisconsin,129.89917790095677,131.28141401047858,128.76072811188737,0.1142805052636861,129.26852007709775,129.42088607921843,139.73907043287653,123.26339387642257,130.7286483905924,130.99484064255753,104.81758647672805,130.96667862651444,128.07228589137273,129.91488895222642,117.90791720653351,128.84777295671321,0.0,118.36229612066177,130.63876223159295,130.14595769538573,1.3299031149896718,116.85983061002223,128.84777295671321,130.78078220501774,4.535267805059453,131.0864590733856,133.29513282023663,130.3707188082518,131.3490852362979,129.23853786207368,125.71886551200359,131.2781484238347,131.24326173140918,131.50094179305196,139.73907043287653,111.02597981062375,131.17799996954201,130.9347163770051,98.7609387439355,110.1033938594949,121.57181302082759,129.6733741779888,127.57619313069272,125.66349100338671,130.96551466876986,128.84777295671321,128.84777295671321,118.39290846029816,96.17903997271381
O'Hare 3H Left,22.764518173462754,22.584355580184052,23.48505025640035,118.24934446627385,23.961254015578024,25.450180914509087,24.91884667041117,18.38226627696823,24.626355637299568,25.143585949266512,13.978118917266107,25.61458729599713,14.390834005154892,24.61606635905375,0.4663355604118387,23.626986532511527,118.36229612066177,0.0,24.76450505591757,25.541727180403083,119.69132223109571,4.552419373278888,23.626986532511527,24.53830139794883,122.47987829802949,25.067697512771034,17.48008425698715,24.660234487828593,22.68992107007396,25.39866537874268,21.769810309238945,24.00134794613,25.849978026083065,24.275334563165533,24.91884667041117,13.604798015194195,14.08790810164482,24.473903418844053,20.018211347082172,16.49621426822337,11.019376846967527,24.393278992389657,22.812509224741994,23.118460464644556,24.92306444374208,23.626986532511527,23.626986532511527,0.2867941586989645,32.879621488698646
CME Center,2.0580927093268415,3.2636849264767016,1.903577142234769,130.5245060264569,1.371654889349298,2.0092759538647353,13.474398014393454,8.098828670183797,0.24737169210029938,0.41552446156977196,30.708853497176744,0.8703350322603537,11.524038653258948,0.7854323549584007,24.8629306647001,1.8017725735570447,130.63876223159295,24.76450505591757,0.0,1.3526200886962017,131.956389494066,21.781361243822843,1.8017725735570447,0.4005989086730158,134.37185147773812,0.4513079729532244,13.561200443741996,0.27393177555126097,3.1996227044345136,2.16083417294817,4.961684711207036,1.5412454935835993,1.0856059876519104,1.501375495698827,13.474398014393454,38.21299988118487,16.52104102784928,0.6361023293712711,35.39809297089668,21.327101094072006,34.03904565539051,0.9847966705086212,3.089340205101067,5.053776784597912,0.32856850484434824,1.8017725735570447,1.8017725735570447,24.492823397744896,56.411192444291714
Illinois Center,3.1825972883278375,4.598741843269773,2.086831906133261,130.0317296043447,1.580985722549622,0.8013973477681235,14.76199956091099,8.257768919959824,1.5999870214420657,1.3483609404127221,30.909388835405295,0.939164649207149,12.630711876496552,0.9795659828434573,25.61990551250767,1.944319865793824,130.14595769538573,25.541727180403083,1.3526200886962017,0.0,131.46179163314625,22.39303536129205,1.944319865793824,1.7531755116069523,133.85444055856922,1.5285360634049325,14.881046217481677,1.222809040352214,4.53918701794997,0.9875964880189608,4.808594546601712,2.893146666867313,1.1556421393815073,2.835316043302018,14.76199956091099,38.906354183523135,17.770607735612753,1.9863818455594437,35.436041620660355,21.197764847263173,35.01768141128278,1.1613132119529568,3.0538023046286895,4.4960943263102955,1.5331034810247766,1.944319865793824,1.944319865793824,25.266242381400165,56.890115034788955
